0          References for Cross Section of tCO       Total   
tCO is equivalent to CO(a^3Pi)                                                  
                                                                                
0          References for Cross Section of tCO       CO+     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       C+O     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       O+C     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0 Branching ratio for tCO      Total        4 branches
 Lambda  Total   CO+      C+O      O+C      C/O     
 1128.5 2.14E-17 1.26E-17 0.00E+00 0.00E+00 8.83E-18
 1132.9 2.81E-17 1.65E-17 0.00E+00 0.00E+00 1.16E-17
 1134.1 2.71E-17 1.51E-17 0.00E+00 0.00E+00 1.20E-17
 1135.7 3.16E-17 1.67E-17 0.00E+00 0.00E+00 1.49E-17
 1137.7 3.03E-17 1.52E-17 0.00E+00 0.00E+00 1.51E-17
 1145.6 2.41E-17 1.38E-17 0.00E+00 0.00E+00 1.03E-17
 1148.0 2.14E-17 1.25E-17 0.00E+00 0.00E+00 8.94E-18
 1150.9 2.49E-17 1.44E-17 0.00E+00 0.00E+00 1.05E-17
 1153.1 2.16E-17 1.26E-17 0.00E+00 0.00E+00 8.98E-18
 1155.8 3.20E-17 1.74E-17 0.00E+00 0.00E+00 1.46E-17
 1163.1 2.05E-17 1.04E-17 0.00E+00 0.00E+00 1.01E-17
 1164.8 2.16E-17 1.14E-17 0.00E+00 0.00E+00 1.02E-17
 1167.2 1.99E-17 1.04E-17 0.00E+00 0.00E+00 9.46E-18
 1169.7 3.27E-17 1.73E-17 0.00E+00 0.00E+00 1.54E-17
 1172.4 2.19E-17 1.10E-17 0.00E+00 0.00E+00 1.09E-17
 1174.6 3.16E-17 1.62E-17 0.00E+00 0.00E+00 1.54E-17
 1175.3 2.82E-17 1.38E-17 0.00E+00 0.00E+00 1.44E-17
 1176.3 2.83E-17 1.30E-17 0.00E+00 0.00E+00 1.53E-17
 1179.5 2.04E-17 9.89E-18 0.00E+00 0.00E+00 1.05E-17
 1181.5 2.23E-17 1.10E-17 0.00E+00 0.00E+00 1.13E-17
 1184.0 2.10E-17 1.18E-17 0.00E+00 0.00E+00 9.17E-18
 1187.7 2.00E-17 1.00E-17 0.00E+00 0.00E+00 9.99E-18
 1189.4 3.35E-17 1.86E-17 0.00E+00 0.00E+00 1.49E-17
 1191.6 2.86E-17 1.30E-17 0.00E+00 0.00E+00 1.56E-17
 1194.4 3.23E-17 1.32E-17 0.00E+00 0.00E+00 1.91E-17
 1197.6 2.76E-17 1.10E-17 0.00E+00 0.00E+00 1.66E-17
 1198.1 2.30E-17 9.15E-18 0.00E+00 0.00E+00 1.39E-17
 1198.9 2.68E-17 1.07E-17 0.00E+00 0.00E+00 1.61E-17
 1199.9 2.69E-17 1.35E-17 0.00E+00 0.00E+00 1.34E-17
 1202.1 1.60E-17 1.02E-17 0.00E+00 0.00E+00 5.80E-18
 1202.4 1.70E-17 1.07E-17 0.00E+00 0.00E+00 6.33E-18
 1203.1 1.71E-17 1.02E-17 0.00E+00 0.00E+00 6.89E-18
 1204.1 1.39E-17 7.94E-18 0.00E+00 0.00E+00 5.96E-18
 1206.4 1.54E-17 1.13E-17 0.00E+00 0.00E+00 4.13E-18
 1208.9 2.42E-17 1.36E-17 0.00E+00 0.00E+00 1.06E-17
 1209.6 2.34E-17 1.15E-17 0.00E+00 0.00E+00 1.19E-17
 1210.9 3.48E-17 1.35E-17 0.00E+00 0.00E+00 2.13E-17
 1211.6 4.24E-17 2.86E-17 0.00E+00 0.00E+00 1.38E-17
 1212.4 4.59E-17 2.07E-17 0.00E+00 0.00E+00 2.52E-17
 1214.2 2.04E-17 1.02E-17 0.00E+00 0.00E+00 1.02E-17
 1217.7 2.79E-17 1.32E-17 0.00E+00 0.00E+00 1.47E-17
 1218.9 2.80E-17 1.24E-17 0.00E+00 0.00E+00 1.56E-17
 1220.2 2.60E-17 1.09E-17 0.00E+00 0.00E+00 1.51E-17
 1221.0 2.62E-17 1.07E-17 0.00E+00 0.00E+00 1.55E-17
 1226.5 1.43E-17 8.93E-18 0.00E+00 0.00E+00 5.37E-18
 1229.3 2.12E-17 1.44E-17 0.00E+00 0.00E+00 6.83E-18
